type,county,name,address,city,zip
PUBLIC,Taylor,Flemington Elementary School,824 Simpson Rd,Flemington,26347
PUBLIC,Taylor,Grafton High School,400 Riverside Drive ,Grafton,26354
PUBLIC,Taylor,West Taylor Elementary School,200 Morrow Cross Rd,Flemington,26347
PUBLIC,Tucker,Tucker Valley Elementary Middle School,81 Tucker Valley Road ,Hambleton,26269
PUBLIC,Tucker,Tucker County High School,116 Mountain Lion Way ,Hambleton,26269
PUBLIC,Tucker,Davis Thomas Elementary Middle School,100 Quail Ridge Rd Po Box 250,Thomas,26292
PUBLIC,Tyler,Tyler Consolidated Middle School,1993 Silver Knight Drive ,Sistersville,26175
PUBLIC,Tyler,Arthur I Boreman Elementary School,P O Box 299 ,Middlebourne,26149
PUBLIC,Tyler,Tyler Consolidated High School,1993 Silver Knight Drive ,Sistersville,26175
PUBLIC,Tyler,Sistersville Elementary School,651 Terrace Circle ,Sistersville,26175
PUBLIC,Upshur,Washington District Elementary,"Hc36, Box 234 ",Buckhannon,26201
PUBLIC,Upshur,Rock Cave Elementary,Rt 2 Box 2f Po Box 130,Rock Cave,26201
PUBLIC,Upshur,French Creek Elementary,"Rt.2, Box 305 ",French Creek,26218
PUBLIC,Upshur,Buckhannon Upshur High School,50 B.u. Drive ,Buckhannon,26201
PUBLIC,Upshur,Union Elementary School,20 Heavener Grove Road ,Buckhannon,26201
PUBLIC,Upshur,Tennerton Elementary,"Route 6, Box 513 ",Buckhannon,26201
PUBLIC,Upshur,Hodgesville Elementary,"Rt.5, Box 383 ",Buckhannon,26201
PUBLIC,Upshur,Buckhannon Academy Elementary School,16 College Avenue ,Buckhannon,26201
PUBLIC,Upshur,Fred Eberle Technical Center,RR 5 Box 2,Buckhannon,26201
PUBLIC,Upshur,B-U Middle School,"Rt. 6, Box 303 ",Buckhannon,26201
PUBLIC,Wayne,Tolsia High School,#1 Rebel Drive ,Fort Gay,25514
PUBLIC,Wayne,Genoa Elementary School,21269 Rt 152 Road ,Genoa,25517
PUBLIC,Wayne,Vinson Middle School,3851 Piedmont Road ,Huntington,25704
PUBLIC,Wayne,Buffalo Elementary School,331 Buffalo Creek Road ,Kenova,25530
PUBLIC,Wayne,Ceredo-Kenova Middle School,P.o. Box 705 4th St. West And High St,Ceredo,25507
PUBLIC,Wayne,East Lynn Elementary School,19594 East Lynn Road,East Lynn,25512
PUBLIC,Wayne,Prichard Elementary School,500 Prichard Rd.,Prichard,25555
PUBLIC,Wayne,Spring Valley High School,#1 Timberwolf Drive ,Huntington,25704
PUBLIC,Wayne,Kellogg Elementary School,4415 Piedmont Road ,Huntington,25704
PUBLIC,Wayne,Crum Pre K-8,150 Crum Road,Crum,25669
PUBLIC,Wayne,Wayne High School,100 Pioneer Road ,Wayne,25570
PUBLIC,Wayne,Dunlow Elementary School,32800 Route 152,Dunlow,25511
PUBLIC,Wayne,Fort Gay PreK - 8,#1 Viking Drive,Fort Gay,25514
PUBLIC,Wayne,Wayne Middle School,200 Pioneer Road ,Wayne,25570
PUBLIC,Wayne,Buffalo Middle School,298 Buffalo Creek Road ,Kenova,25530
PUBLIC,Wayne,Wayne Elementary School,80 McGinnis Drive,Wayne,25570
PUBLIC,Wayne,Lavalette Elementary School,P.o. Box 380 ,Lavalette,25535
PUBLIC,Wayne,Ceredo-Kenova Elementary,1 Wonders Lane,Kenova,25530
PUBLIC,Webster,Glade Middle School,25 Mill Street ,Cowen,26206
PUBLIC,Webster,Hacker Valley Elementary School,11 School Loop Road ,Hacker Valley,26222
PUBLIC,Webster,Diana Elementary School,Po Box 90 ,Diana,26217
PUBLIC,Webster,Webster County High School,One Highlander Drive ,Upperglade,26266
PUBLIC,Webster,Webster Springs Elementary School,318 River Drive ,Webster Springs,26288
PUBLIC,Webster,Glade Elementary School,25 Mill St. ,Cowen,26206
PUBLIC,Wetzel,Valley High School,One Lumberjack Lane ,Pine Grove,26419
PUBLIC,Wetzel,Magnolia High School,601 Maple Avenue ,New Martinsville,26155
PUBLIC,Wetzel,Wetzel Co. Ctr. For Children & Families,Rr2 Box 107 ,New Martinsville,26155
PUBLIC,Wetzel,Paden City Elementary School,510 N Second Avenue ,Paden City,26159
PUBLIC,Wetzel,Long Drain School,Rt 1 Box 108-A ,Metz,26585
PUBLIC,Wetzel,Paden City High School,201 N Fourth Avenue ,Paden City,26159
PUBLIC,Wetzel,Hundred High School,P O  Box 830 ,Hundred,26575
PUBLIC,Wetzel,Short Line School,Hc 60 Box 170 ,Reader,26167
PUBLIC,Wetzel,New Martinsville School,20 E Benjamin Drive ,New Martinsville,26155
PUBLIC,Wirt,Wirt County High School,P O Box 219 ,Elizabeth,26143
PUBLIC,Wirt,Wirt County Primary Center,P O  Box 220 ,Elizabeth,26143
PUBLIC,Wirt,Wirt County Middle School,P O Box 699 ,Elizabeth,26143
PUBLIC,Wood,Trek Center,615 Broadway Ave ,Parkersburg,26101
PUBLIC,Wood,Worthington Elementary School,2500 36th St ,Parkersburg,26104
PUBLIC,Wood,Greenmont Elementary School,209 58th St ,Vienna,26105
PUBLIC,Wood,Parkersburg South High School,1511 Blizzard Dr ,Parkersburg,26101
PUBLIC,Wood,Waverly Elementary School,422 Virginia St ,Waverly,26184
PUBLIC,Wood,Fairplains Elementary School,615 Broadway Ave ,Parkersburg,26101
PUBLIC,Wood,Van Devender Middle School,918 31st St ,Parkersburg,26104
PUBLIC,Wood,Neale Elementary School,2305 Grand Central Ave ,Vienna,26105
PUBLIC,Wood,Criss Elementary School,2800 22nd St ,Parkersburg,26101
PUBLIC,Wood,Hamilton Middle School,3501 Cadillac Dr ,Parkersburg,26104
PUBLIC,Wood,Mckinley Elementary School,1130 19th St ,Parkersburg,26101
PUBLIC,Wood,Blennerhassett Middle School,444 Jewel Rd ,Parkersburg,26101
PUBLIC,Wood,Lubeck Elementary School,206 Lubeck Rd ,Parkersburg,26101
PUBLIC,Wood,Wood Co Voc Tech Ctr,1515 Blizzard Dr ,Parkersburg,26101
PUBLIC,Wood,Franklin Elementary Center,1511 Division St Ext ,Parkersburg,26101
PUBLIC,Wood,Jefferson Elementary Center,1103 Plum St ,Parkersburg,26101
PUBLIC,Wood,Williamstown High School,219 W 5th St ,Williamstown,26187
PUBLIC,Wood,Williamstown Elementary School,418 Williams Ave ,Williamstown,26187
PUBLIC,Wood,Gihon Elementary School,2000 Belmont Rd ,Parkersburg,26101
PUBLIC,Wood,Parkersburg High School,2101 Dudley Ave ,Parkersburg,26101
PUBLIC,Wood,Vienna Elementary School,700 41st St ,Vienna,26105
PUBLIC,Wood,Emerson Elementary School,1605 36th St ,Parkersburg,26101
PUBLIC,Wood,Jackson Middle School,1601 34th St ,Vienna,26105
PUBLIC,Wood,Mineral Wells Elementary School,1776 Elizabeth Pike ,Mineral Wells,26150
PUBLIC,Wood,Blennerhassett Elementary School,448 Jewel Rd ,Parkersburg,26101
PUBLIC,Wood,Edison Middle School,1201 Hillcrest St ,Parkersburg,26101
PUBLIC,Wood,Madison Elementary School,1426 32nd St ,Parkersburg,26101
PUBLIC,Wood,Caperton Center For Applied Technology,300 Campus Dr ,Parkersburg,26101
PUBLIC,Wood,Martin Elementary School,1301 Hillcrest St ,Parkersburg,26101
PUBLIC,Wood,Kanawha Elementary School,6465 Staunton Tpke ,Davisville,26142
PUBLIC,Wyoming,Berlin Mckinney Elementary School,Hc 65  Box 402 405 Cook Parkway,Oceana,24870
PUBLIC,Wyoming,Pineville Middle School,Po Box 470 607 River Road,Pineville,24874
PUBLIC,Wyoming,Mullens Middle School,801 Moran Avenue ,Mullens,25882
PUBLIC,Wyoming,Pineville Elementary School,"Po Box 700, 541 River Road",Pineville,24874
PUBLIC,Wyoming,Huff Cons Elementary & Middle School,"374 Lizard Creek Rd, Drawer E",Hanover,24839
PUBLIC,Wyoming,Wyoming County Career & Technical Center,"Hcr 72 Box 200, 1201 Bear Hole Road",Pineville,24874
PUBLIC,Wyoming,Glen Fork Elementary & Middle School,Po Box 50 111 Glen Fork Hollow Road,Glen Fork,25845
PUBLIC,Wyoming,Wyoming County East High School,"PO Box 390, 260 Warrior Way",New Richmond,24867
PUBLIC,Wyoming,Baileysville Elementary & Middle School,Drawer 409 11618 R.d. Bailey Highway,Brenton,24818
PUBLIC,Wyoming,Oceana Middle School,Hc 65  Box 403 309 Cook Parkway,Oceana,24870
PUBLIC,Wyoming,Road Branch Elementary & Middle School,"1165 Huff Creek Road, HC 80 Box 422",Cyclone,24827
PUBLIC,Wyoming,Mullens Elementary School,2107 Caloric Road ,Mullens,25882
PUBLIC,Wyoming,Herndon Cons Elementary & Middle School,Po Box 309 4456 Herndon Road,Bud,24716
PUBLIC,Wyoming,Westside High School,Hc 65  Box 275 122 Renegade Road,Clear Fork,24822
